antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.0356549327693005,0.039633378657400416,0.023165634285138743,0.6497175141242938,16.393190188012834,1.0,0.021752508833688903,2.74169180609097,0.9737168702191283,0.4444444444444444,0.6352617030920871,0.617107804076124
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.039633378657400416,0.0356549327693005,0.023165634285138743,0.5844980940279543,16.393190188012838,1.0,0.021752508833688903,2.320916109818228,0.9777506212808647,0.4444444444444444,0.5691356547659454,0.617107804076124
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03192828725386514,0.03787077604874855,0.023215994359671654,0.7271293375394322,19.200275605745354,1.0,0.022006845343460413,3.5259533409542976,0.9791809860815005,0.49837837837837856,0.7163887597760014,0.6700806262165246
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.03787077604874855,0.03192828725386514,0.023215994359671654,0.6130319148936171,19.200275605745354,1.0,0.022006845343460413,2.5016836013233457,0.9852287932711167,0.49837837837837856,0.6002691949249626,0.6700806262165246
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.026388679055245,0.03263332829732588,0.02074835070755905,0.7862595419847329,24.09375883517105,1.0,0.019887200280616472,4.52589407118037,0.984474456121356,0.5421052631578948,0.7790491813832496,0.7110310055602677
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03263332829732588,0.026388679055245,0.02074835070755905,0.6358024691358024,24.093758835171048,1.0,0.019887200280616472,2.673305660899157,0.990829541370929,0.5421052631578948,0.6259312900030842,0.7110310055602677
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.036460693961827065,0.03263332829732588,0.02457571637206023,0.6740331491712707,20.654747288725186,1.0,0.0233858825760556,2.9676841962404064,0.9875933178706774,0.5520361990950224,0.6630369224370827,0.7135597844621785
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03263332829732588,0.036460693961827065,0.02457571637206023,0.7530864197530863,20.654747288725186,1.0,0.0233858825760556,3.902334189454599,0.9836859259107539,0.5520361990950224,0.7437431159273002,0.7135597844621785
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.040640580148058617,0.04728810998640278,0.020093669738631213,0.4944237918215614,10.455562549734552,1.0,0.0181718535146786,1.8844080765710123,0.9426676928541827,0.29621380846325174,0.4693293812348422,0.45967195980854425
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04728810998640278,0.040640580148058617,0.020093669738631213,0.4249201277955271,10.455562549734552,1.0,0.0181718535146786,1.6682194356314313,0.9492451394900191,0.29621380846325174,0.40055847651631404,0.45967195980854425
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG PINK POLKADOT'}),0.07488543083043762,0.041547061489651003,0.025885078309915897,0.3456624075319435,8.319779910741579,1.0,0.022773808710524698,1.4647682626566174,0.9510222215632407,0.2858731924360401,0.31729815186852683,0.48434635528112324
frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.041547061489651003,0.07488543083043762,0.025885078309915897,0.623030303030303,8.319779910741579,1.0,0.022773808710524698,2.4540820564787427,0.9179423187324891,0.2858731924360401,0.5925156628890978,0.48434635528112324
frozenset({'JUMBO BAG STRAWBERRY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.031978647328398044,0.07488543083043762,0.020295110036762855,0.6346456692913386,8.474888402903908,1.0,0.017900375254201142,2.5321023768218627,0.911141415969553,0.2344386271087842,0.6050712604854714,0.4528305683376666
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO BAG STRAWBERRY'}),0.07488543083043762,0.031978647328398044,0.020295110036762855,0.2710154673839946,8.474888402903908,1.0,0.017900375254201142,1.3279038297257122,0.9534001250825666,0.2344386271087842,0.24693341670190308,0.4528305683376666
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'JUMBO STORAGE BAG SUKI'}),0.07488543083043762,0.037115374930754896,0.0210001510802236,0.28043039677202425,7.555639604751812,1.0,0.018220750238100797,1.3381396611943623,0.9378822472778447,0.2307692307692308,0.2526938487814898,0.42311886188669057
frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.037115374930754896,0.07488543083043762,0.0210001510802236,0.5658073270013569,7.555639604751812,1.0,0.018220750238100797,2.1306544921186488,0.9010929331848331,0.2307692307692308,0.530660647374303,0.42311886188669057
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05116583572543688,0.04557586745228383,0.020446190260361586,0.39960629921259844,8.767936224822726,1.0,0.018114262913253746,1.5896638010958681,0.933722782015848,0.26798679867986797,0.37093616945254154,0.4241125418714926
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04557586745228383,0.05116583572543688,0.020446190260361586,0.4486187845303868,8.767936224822726,1.0,0.018114262913253746,1.7208315003376349,0.9282540595167049,0.26798679867986797,0.41888557955628103,0.4241125418714926
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05116583572543688,0.04371254469456615,0.022410233167145088,0.43799212598425197,10.01982678072499,1.0,0.0201736442861621,1.7015552619795462,0.9487410017240668,0.3092425295343989,0.4123023669318706,0.4753324685220799
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04371254469456615,0.05116583572543688,0.022410233167145088,0.5126728110599078,10.019826780724989,1.0,0.0201736442861621,1.9470166775184887,0.9413465276466978,0.3092425295343989,0.4863937163216703,0.4753324685220799
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.05116583572543688,0.058266606234577224,0.02467643652112605,0.4822834645669291,8.27718475013441,1.0,0.021695176918248956,1.8190135514556456,0.9265960362171511,0.29114676173499704,0.450251484273022,0.45289626988069875
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.058266606234577224,0.05116583572543688,0.02467643652112605,0.42350907519446845,8.27718475013441,1.0,0.021695176918248956,1.6458787527221432,0.9335826694314089,0.29114676173499704,0.3924218303771859,0.45289626988069875
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.04371254469456615,0.04557586745228383,0.020194389887697034,0.4619815668202765,10.136539195967107,1.0,0.018202152744695454,1.7739617709880462,0.9425481795537486,0.29227405247813415,0.4362899943198729,0.4525377447361051
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.04557586745228383,0.04371254469456615,0.020194389887697034,0.4430939226519337,10.136539195967107,1.0,0.018202152744695454,1.717143148911543,0.9443883168819193,0.29227405247813415,0.41763737016690966,0.4525377447361051
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.058266606234577224,0.04557586745228383,0.02115123130382233,0.36300777873811585,7.964912113152228,1.0,0.018495680181180824,1.498329336984678,0.928552966641202,0.2557856272838003,0.3325899885185082,0.41354808826408557
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04557586745228383,0.058266606234577224,0.02115123130382233,0.4640883977900553,7.964912113152228,1.0,0.018495680181180824,1.7572550955829023,0.9162062302759855,0.2557856272838003,0.430930658551718,0.41354808826408557
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.058266606234577224,0.04371254469456615,0.024072115626731127,0.4131374243733794,9.45123252970299,1.0,0.021525133997501483,1.629491289820894,0.9495189403262256,0.30898513251454435,0.3863115401433564,0.4819143343065054
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04371254469456615,0.058266606234577224,0.024072115626731127,0.5506912442396313,9.45123252970299,1.0,0.021525133997501483,2.0959604763804793,0.9350678911001326,0.30898513251454435,0.5228917666773454,0.4819143343065054
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04456866596162562,0.058266606234577224,0.02079871078209196,0.46666666666666673,8.009161624891963,1.0,0.018201845872105514,1.765750113310168,0.9159663865546219,0.2535297728667895,0.433668449197861,0.41181215787957365
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.058266606234577224,0.04456866596162562,0.02079871078209196,0.35695764909248057,8.009161624891963,1.0,0.018201845872105514,1.4857984589817195,0.9292895339954164,0.2535297728667895,0.3269612079922721,0.41181215787957365
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.04290678350203958,0.058266606234577224,0.0210001510802236,0.48943661971830993,8.399950698138705,1.0,0.018500118421118004,1.8444985091681387,0.9204450173089626,0.26193467336683424,0.4578472169917904,0.4249257428755768
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.058266606234577224,0.04290678350203958,0.0210001510802236,0.3604148660328436,8.399950698138705,1.0,0.018500118421118004,1.4964281776866761,0.9354576232062479,0.26193467336683424,0.3317420676040082,0.4249257428755768
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.03464773127864229,0.04804351110439643,0.022108072719947625,0.6380813953488372,13.28132313149042,1.0,0.02044347405752003,2.630305479358134,0.9578951921590372,0.3649210307564422,0.619816022189169,0.5491245551167666
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.04804351110439643,0.03464773127864229,0.022108072719947625,0.46016771488469604,13.28132313149042,1.0,0.02044347405752003,1.788244785165389,0.9713745404695859,0.3649210307564422,0.4407924416748609,0.5491245551167666
frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.03298584881905625,0.09689278340131943,0.021805912272750163,0.6610687022900763,6.822682547491707,1.0,0.018609821567816678,2.664573094018629,0.8825414644788974,0.20177073625349487,0.6247053600275495,0.4430603386710257
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),0.09689278340131943,0.03298584881905625,0.021805912272750163,0.22505197505197505,6.822682547491708,1.0,0.018609821567816678,1.247843881201969,0.944993096577471,0.20177073625349487,0.19861769964623832,0.4430603386710257
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.04013697940272951,0.04381326484363197,0.023316714508737475,0.5809284818067755,13.2591917968243,1.0,0.021558182400142286,2.2816791255078606,0.9632422564641838,0.38455149501661134,0.561726279203515,0.5565561949263762
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04381326484363197,0.04013697940272951,0.023316714508737475,0.532183908045977,13.2591917968243,1.0,0.021558182400142286,2.0517956459941655,0.9669456685209535,0.38455149501661134,0.5126220284401346,0.5565561949263762
